DVB,ANAL,5,GABA,,
DB7,DR24,2,Acetylcholine,,
DD6,DR24,5,GABA,,
IL1L,VL01,3,Glutamate,,
IL1VL,VL01,5,Glutamate,,
RMDL,VL01,1,Acetylcholine,,
RMDVR,VL01,1,Acetylcholine,,
RMER,VL01,5,GABA,,
RMHR,VL01,2,Glutamate,,
SMBVL,VL01,1,Acetylcholine,,
URAVL,VL01,2,Acetylcholine,,
IL1VL,VL02,4,Glutamate,,
RMDVR,VL02,1,Acetylcholine,,
RMED,VL02,2,GABA,,
SMBVL,VL02,1,Acetylcholine,,
SMDDL,VL02,1,Acetylcholine,,
SMDVR,VL02,1,Acetylcholine,,
URAVL,VL02,2,Acetylcholine,,
CEPVL,VL03,1,,,
IL1L,VL03,3,Glutamate,,
RMDR,VL03,1,Acetylcholine,,
RMDVR,VL03,1,Acetylcholine,,
SMBVL,VL03,1,Acetylcholine,,
SMDVL,VL03,1,Acetylcholine,,
SMDVR,VL03,1,Acetylcholine,,
URAVL,VL03,3,Acetylcholine,,
RMDVL,VL04,1,Acetylcholine,,
RMDVR,VL04,1,Acetylcholine,,
RMED,VL04,2,GABA,,
SMBVL,VL04,1,Acetylcholine,,
SMDDL,VL04,1,Acetylcholine,,
SMDVR,VL04,1,Acetylcholine,,
URAVL,VL04,2,Acetylcholine,,
RIMR,VL05,1,"Acetylcholine, Tyramine",,
RIVR,VL05,1,GABA,,
RMDR,VL05,1,Acetylcholine,,
RMDVR,VL05,1,Acetylcholine,,
RMGL,VL05,2,FRMFemide,,
SMBVL,VL05,1,Acetylcholine,,
VD1,VL05,3,GABA,,
RIVR,VL06,1,GABA,,
RMDVR,VL06,1,Acetylcholine,,
RMED,VL06,2,GABA,,
SMBVL,VL06,1,Acetylcholine,,
SMDVL,VL06,1,Acetylcholine,,
RIMR,VL07,1,"Acetylcholine, Tyramine",,
VA1,VL07,3,Acetylcholine,,
VA2,VL07,5,Acetylcholine,,
VB1,VL07,1,Acetylcholine,,
VB2,VL07,4,Acetylcholine,,
VD2,VL07,5,GABA,,
RIVR,VL08,1,GABA,,
RMDVR,VL08,1,Acetylcholine,,
SMBVL,VL08,1,Acetylcholine,,
VA1,VL08,3,Acetylcholine,,
VB1,VL08,1,Acetylcholine,,
VD1,VL08,3,GABA,,
PVNL,VL09,3,Glutamate,,
VA3,VL09,5,Acetylcholine,,
VB2,VL09,4,Acetylcholine,,
VD3,VL09,5,GABA,,
AVKR,VL10,1,FMRFamide,,
AVL,VL10,5,GABA,,
VA2,VL10,5,Acetylcholine,,
VA3,VL10,5,Acetylcholine,,
VB2,VL10,4,Acetylcholine,,
VD2,VL10,5,GABA,,
AVFL,VL11,1,Glutamate,,
VA4,VL11,6,Acetylcholine,,
VA5,VL11,5,Acetylcholine,,
VB3,VL11,6,Acetylcholine,,
VB4,VL11,5,Acetylcholine,,
VD4,VL11,6,GABA,,
AVFL,VL12,1,Glutamate,,
PVNR,VL12,1,Glutamate,,
VA3,VL12,5,Acetylcholine,,
VA4,VL12,6,Acetylcholine,,
VB2,VL12,4,Acetylcholine,,
VB3,VL12,6,Acetylcholine,,
VD3,VL12,6,GABA,,
VD4,VL12,6,GABA,,
PVNR,VL13,2,Glutamate,,
VA6,VL13,5,Acetylcholine,,
VA7,VL13,4,Acetylcholine,,
VB5,VL13,6,Acetylcholine,,
VD6,VL13,5,GABA,,
AVFR,VL14,2,Glutamate,,
VA5,VL14,5,Acetylcholine,,
VA6,VL14,5,Acetylcholine,,
VB3,VL14,6,Acetylcholine,,
VB4,VL14,5,Acetylcholine,,
VB5,VL14,6,Acetylcholine,,
VD5,VL14,13,GABA,,
VD6,VL14,5,GABA,,
VA7,VL15,4,Acetylcholine,,
VA8,VL15,6,Acetylcholine,,
VA9,VL15,5,Acetylcholine,,
VB6,VL15,6,Acetylcholine,,
VB7,VL15,5,Acetylcholine,,
VD7,VL15,5,GABA,,
VD8,VL15,12,GABA,,
VA7,VL16,4,Acetylcholine,,
VA8,VL16,6,Acetylcholine,,
VB6,VL16,6,Acetylcholine,,
VD6,VL16,5,GABA,,
VD7,VL16,5,GABA,,
VA10,VL17,5,Acetylcholine,,
VB8,VL17,5,Acetylcholine,,
VB9,VL17,6,Acetylcholine,,
VD9,VL17,7,GABA,,
VD10,VL17,6,GABA,,
VA9,VL18,5,Acetylcholine,,
VA10,VL18,5,Acetylcholine,,
VB8,VL18,5,Acetylcholine,,
VD9,VL18,7,GABA,,
VA11,VL19,5,Acetylcholine,,
VB10,VL19,5,Acetylcholine,,
VD11,VL19,6,GABA,,
VD12,VL19,3,GABA,,
VA11,VL20,5,Acetylcholine,,
VB8,VL20,5,Acetylcholine,,
VB9,VL20,6,Acetylcholine,,
VB10,VL20,5,Acetylcholine,,
VD10,VL20,6,GABA,,
VD11,VL20,6,GABA,,
VA12,VL21,5,Acetylcholine,,
VB11,VL21,5,Acetylcholine,,
VD12,VL21,3,GABA,,
VD13,VL21,6,GABA,,
PDB,VL22,1,FMRFamide,,
VA12,VL22,5,Acetylcholine,,
VB11,VL22,5,Acetylcholine,,
VD13,VL22,6,GABA,,
VA12,VL23,5,Acetylcholine,,
VB11,VL23,5,Acetylcholine,,
VD13,VL23,6,GABA,,
IL1R,VR01,3,Glutamate,,
IL1VR,VR01,5,Glutamate,,
RMDDL,VR01,1,Acetylcholine,,
RMDDR,VR01,1,Acetylcholine,,
RMDL,VR01,1,Acetylcholine,,
RMDVL,VR01,1,Acetylcholine,,
RMEL,VR01,3,GABA,,
RMFL,VR01,1,Glutamate,,
RMHL,VR01,2,Glutamate,,
SMBVR,VR01,1,Acetylcholine,,
URAVR,VR01,2,Acetylcholine,,
IL1VR,VR02,5,Glutamate,,
RMDDR,VR02,1,Acetylcholine,,
RMDVL,VR02,1,Acetylcholine,,
RMED,VR02,2,GABA,,
SMBVR,VR02,1,Acetylcholine,,
SMDDR,VR02,1,Acetylcholine,,
SMDVL,VR02,1,Acetylcholine,,
URAVR,VR02,2,Acetylcholine,,
IL1R,VR03,3,Glutamate,,
RMDL,VR03,1,Acetylcholine,,
RMDVL,VR03,1,Acetylcholine,,
RMEL,VR03,3,GABA,,
RMFL,VR03,1,Glutamate,,
SMBVR,VR03,1,Acetylcholine,,
SMDVL,VR03,1,Acetylcholine,,
URAVR,VR03,2,Acetylcholine,,
CEPVR,VR04,1,,,
RIVR,VR04,1,GABA,,
RMDVL,VR04,1,Acetylcholine,,
RMDVR,VR04,1,Acetylcholine,,
RMED,VR04,2,GABA,,
SMBVR,VR04,1,Acetylcholine,,
SMDVL,VR04,1,Acetylcholine,,
URAVR,VR04,2,Acetylcholine,,
RIML,VR05,2,"Acetylcholine, Tyramine",,
RIVL,VR05,1,GABA,,
RMDL,VR05,2,Acetylcholine,,
RMDVL,VR05,1,Acetylcholine,,
RMGR,VR05,1,FRMFemide,,
VD1,VR05,3,GABA,,
RIVL,VR06,1,GABA,,
RIVR,VR06,1,GABA,,
RMDVL,VR06,1,Acetylcholine,,
RMDVR,VR06,1,Acetylcholine,,
SMBVR,VR06,1,Acetylcholine,,
SMDVL,VR06,1,Acetylcholine,,
RMDL,VR07,1,Acetylcholine,,
RMGR,VR07,1,FRMFemide,,
SMBVR,VR07,1,Acetylcholine,,
SMDVR,VR07,1,Acetylcholine,,
VA1,VR07,3,Acetylcholine,,
VA2,VR07,5,Acetylcholine,,
VB1,VR07,1,Acetylcholine,,
VB2,VR07,4,Acetylcholine,,
VD2,VR07,5,GABA,,
RIVL,VR08,2,GABA,,
RMDVL,VR08,1,Acetylcholine,,
RMDVR,VR08,1,Acetylcholine,,
VA1,VR08,3,Acetylcholine,,
VB1,VR08,1,Acetylcholine,,
VD1,VR08,3,GABA,,
VA3,VR09,5,Acetylcholine,,
VB2,VR09,4,Acetylcholine,,
VD3,VR09,5,GABA,,
AVL,VR10,5,GABA,,
VA2,VR10,5,Acetylcholine,,
VA3,VR10,5,Acetylcholine,,
VB2,VR10,4,Acetylcholine,,
VD2,VR10,5,GABA,,
VA4,VR11,6,Acetylcholine,,
VA5,VR11,5,Acetylcholine,,
VB3,VR11,6,Acetylcholine,,
VB4,VR11,5,Acetylcholine,,
VD4,VR11,6,GABA,,
VA3,VR12,5,Acetylcholine,,
VA4,VR12,6,Acetylcholine,,
VB2,VR12,4,Acetylcholine,,
VB3,VR12,6,Acetylcholine,,
VD3,VR12,5,GABA,,
VD4,VR12,6,GABA,,
VA6,VR13,5,Acetylcholine,,
VA7,VR13,4,Acetylcholine,,
VB5,VR13,6,Acetylcholine,,
VD6,VR13,5,GABA,,
AVFR,VR14,2,Glutamate,,
VA5,VR14,5,Acetylcholine,,
VA6,VR14,5,Acetylcholine,,
VB3,VR14,6,Acetylcholine,,
VB4,VR14,5,Acetylcholine,,
VB5,VR14,6,Acetylcholine,,
VD5,VR14,13,GABA,,
VD6,VR14,5,GABA,,
VA7,VR15,4,Acetylcholine,,
VA8,VR15,6,Acetylcholine,,
VA9,VR15,5,Acetylcholine,,
VB6,VR15,6,Acetylcholine,,
VB7,VR15,5,Acetylcholine,,
VD7,VR15,5,GABA,,
VD8,VR15,12,GABA,,
VA7,VR16,4,Acetylcholine,,
VA8,VR16,6,Acetylcholine,,
VB6,VR16,6,Acetylcholine,,
VD6,VR16,5,GABA,,
VD7,VR16,5,GABA,,
VA10,VR17,5,Acetylcholine,,
VB8,VR17,5,Acetylcholine,,
VB9,VR17,6,Acetylcholine,,
VD9,VR17,7,GABA,,
VD10,VR17,6,GABA,,
VA9,VR18,5,Acetylcholine,,
VA10,VR18,5,Acetylcholine,,
VB8,VR18,5,Acetylcholine,,
VD9,VR18,7,GABA,,
VA11,VR19,5,Acetylcholine,,
VB10,VR19,5,Acetylcholine,,
VD11,VR19,6,GABA,,
VD12,VR19,3,GABA,,
VA11,VR20,5,Acetylcholine,,
VB8,VR20,5,Acetylcholine,,
VB9,VR20,6,Acetylcholine,,
VB10,VR20,5,Acetylcholine,,
VD10,VR20,6,GABA,,
VD11,VR20,6,GABA,,
PDB,VR21,1,FMRFamide,,
VA12,VR21,5,Acetylcholine,,
VB11,VR21,5,Acetylcholine,,
VD13,VR21,6,GABA,,
VA12,VR22,5,Acetylcholine,,
VB11,VR22,5,Acetylcholine,,
VD12,VR22,3,GABA,,
VD13,VR22,6,GABA,,
VA12,VR23,5,Acetylcholine,,
VB11,VR23,5,Acetylcholine,,
VD13,VR23,6,GABA,,
VA12,VR24,5,Acetylcholine,,
VB11,VR24,5,Acetylcholine,,
VD13,VR24,6,GABA,,
HSNL,VULVA,7,"Serotonin, Acetylcholine",,
HSNR,VULVA,6,"Serotonin, Acetylcholine",,
VA7,VULVA,4,Acetylcholine,,
VB6,VULVA,6,Acetylcholine,,
VC1,VULVA,6,"Serotonin, Acetylcholine",,
VC2,VULVA,10,"Serotonin, Acetylcholine",,
VC3,VULVA,11,"Serotonin, Acetylcholine",,
VC4,VULVA,7,"Serotonin, Acetylcholine",,
VC5,VULVA,2,"Serotonin, Acetylcholine",,
VC6,VULVA,1,"Serotonin, Acetylcholine",,
VD7,VULVA,5,GABA,,
